id,totalCost,regionName,bedrooms,url,neighbourhood
0,NA,NA,NA,NA,NA
893763325,2292,Sion,2,https://www.quintoandar.com.br/imovel/893763325/,NA
893694350,2168,Sion,3,https://www.quintoandar.com.br/imovel/893694350/,NA
893770271,2050,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893770271/,NA
893767927,1487,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893767927/,NA
893773481,1959,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893773481/,NA
893517281,1742,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893517281/,NA
893540001,2045,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893540001/,NA
893777917,1907,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893777917/,NA
893486407,2058,Carlos Prates,3,https://www.quintoandar.com.br/imovel/893486407/,NA
893773742,2055,Havaí,3,https://www.quintoandar.com.br/imovel/893773742/,NA
892854942,2044,Grajaú,2,https://www.quintoandar.com.br/imovel/892854942/,NA
893776211,2000,Caiçara-Adelaide,3,https://www.quintoandar.com.br/imovel/893776211/,NA
893777863,1733,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893777863/,NA
893685248,1699,Salgado Filho,3,https://www.quintoandar.com.br/imovel/893685248/,NA
893656824,1624,Padre Eustáquio,2,https://www.quintoandar.com.br/imovel/893656824/,NA
893779706,1492,Boa Vista,3,https://www.quintoandar.com.br/imovel/893779706/,NA
893777217,2334,Nova Suíssa,3,https://www.quintoandar.com.br/imovel/893777217/,NA
893779483,1904,Estoril ,2,https://www.quintoandar.com.br/imovel/893779483/,NA
893780027,1311,Caiçara-Adelaide,2,https://www.quintoandar.com.br/imovel/893780027/,NA
893779579,2324,Nova Granada,2,https://www.quintoandar.com.br/imovel/893779579/,NA
893781790,1743,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893781790/,NA
893664070,2322,Havaí,3,https://www.quintoandar.com.br/imovel/893664070/,NA
893751133,2007,Havaí,3,https://www.quintoandar.com.br/imovel/893751133/,NA
893613958,2116,Jardim América,3,https://www.quintoandar.com.br/imovel/893613958/,NA
893781846,2278,Horto Florestal,3,https://www.quintoandar.com.br/imovel/893781846/,NA
893245070,1866,Floresta,3,https://www.quintoandar.com.br/imovel/893245070/,NA
893786274,1662,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893786274/,NA
893785550,1817,Calafate,3,https://www.quintoandar.com.br/imovel/893785550/,NA
893742383,1908,Havaí,3,https://www.quintoandar.com.br/imovel/893742383/,NA
893789679,2410,Grajaú,3,https://www.quintoandar.com.br/imovel/893789679/,NA
892827694,2330,Grajaú,3,https://www.quintoandar.com.br/imovel/892827694/,NA
893592959,2488,Santa Amélia,3,https://www.quintoandar.com.br/imovel/893592959/,NA
893247901,2475,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893247901/,NA
893767911,2475,Vila Paris,3,https://www.quintoandar.com.br/imovel/893767911/,NA
893539702,2470,Minas Brasil,3,https://www.quintoandar.com.br/imovel/893539702/,NA
892986645,2442,Castelo,4,https://www.quintoandar.com.br/imovel/892986645/,NA
893740632,2427,Prado,3,https://www.quintoandar.com.br/imovel/893740632/,NA
893729936,2398,Manacás,3,https://www.quintoandar.com.br/imovel/893729936/,NA
